trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
97,494.63800000000003,963.836,333,60,1,3,1,0,1,vft_hilariob,98,6.894185880519352,6.894185880519352,7.8932154248126665,469.198,136.19799999999998
98,450.949,741.9,333,60,1,3,1,0,1,vft_hilariob,99,2.179748884719294,2.179748884719294,6.817982524322988,290.95099999999996,-42.049000000000035
99,585.936,1030.39,333,60,1,3,1,0,1,vft_hilariob,100,3.989256151108573,3.989256151108573,7.3343964719419095,444.45400000000006,111.45400000000006
100,799.166,1087.13,333,60,1,3,1,0,1,vft_hilariob,101,0.0820727080600023,0.3122045049129108,6.154399834115781,287.96400000000006,-45.035999999999945
101,551.942,1156.12,333,60,1,3,1,0,1,vft_hilariob,102,5.25964660123132,5.25964660123132,8.988784639403805,604.1779999999999,271.1779999999999
102,566.686,908.4,333,60,1,3,1,0,1,vft_hilariob,103,2.9753680824808493,2.9753691372585225,6.701604618795324,341.71399999999994,8.713999999999942
103,467.195,896.378,333,60,1,3,1,0,1,vft_hilariob,104,2.1141032485350513,2.1204329170625957,7.636363298415845,429.18300000000005,96.18300000000005
104,553.92,937.627,333,60,1,3,1,0,1,vft_hilariob,105,3.601250031048752,3.6012513209023234,7.270048419503857,383.707,50.706999999999994
105,471.73699999999997,808.408,333,60,1,3,1,0,1,vft_hilariob,106,2.5329026926460623,2.5329026926460623,6.920071446729749,336.67100000000005,3.671000000000049
106,459.44800000000004,803.721,333,60,1,3,1,0,1,vft_hilariob,107,0.8908232026773019,0.8908232026773019,6.215027073484379,344.27299999999997,11.272999999999968
107,524.206,788.158,333,60,1,3,1,0,1,vft_hilariob,108,0.7119456661397731,0.7119456661397731,6.219212318210157,263.952,-69.048
108,531.687,799.4019999999999,333,60,1,3,1,0,1,vft_hilariob,109,0.2550512994680004,0.4264054122334358,6.506105725623119,267.7149999999999,-65.28500000000008
109,445.69599999999997,725.9119999999999,333,60,1,3,1,0,1,vft_hilariob,110,0.01035699998000389,0.22214837264995005,6.0998821268526235,280.21599999999995,-52.78400000000005
110,499.194,800.9060000000001,333,60,1,3,1,0,1,vft_hilariob,111,-0.3215610735222969,0.4270216072896454,6.448261082160928,301.71200000000005,-31.287999999999954
111,532.93,811.1469999999999,333,60,1,3,1,0,1,vft_hilariob,112,0.6753328623806591,0.6791754065335083,6.297352726773399,278.217,-54.783000000000015
112,495.69,775.033,333,60,1,3,1,0,1,vft_hilariob,113,1.3109003175472003,1.3109003175472003,6.32528546024561,279.343,-53.65699999999998
113,402.20099999999996,835.1469999999999,333,60,1,3,1,0,1,vft_hilariob,114,5.948928530051533,5.948928530051533,8.140377948190377,432.94599999999997,99.94599999999997
114,536.685,840.3969999999999,333,60,1,3,1,0,1,vft_hilariob,115,2.3675513464734017,2.3675513464734017,7.089078584033814,303.712,-29.28800000000001
115,551.178,838.903,333,60,1,3,1,0,1,vft_hilariob,116,0.4030446273688526,0.44577255450388975,6.643697236198756,287.725,-45.27499999999998
116,461.69300000000004,797.9019999999999,333,60,1,3,1,0,1,vft_hilariob,117,1.114070545887,1.114070545887,6.186058809240697,336.2089999999999,3.2089999999998895
117,493.689,875.1419999999999,333,60,1,3,1,0,1,vft_hilariob,118,2.7804864011672743,2.7804864011672743,7.378308897180435,381.4529999999999,48.45299999999992
118,462.69,765.654,333,60,1,3,1,0,1,vft_hilariob,119,1.0158082297499673,1.0158082297499673,6.404136364411997,302.964,-30.036
119,460.45099999999996,741.664,333,60,1,3,1,0,1,vft_hilariob,120,0.27245997635657004,0.3165979129179272,6.283419696746935,281.213,-51.78699999999998
120,537.911,1087.34,333,0,0,4,1,0,1,vft_hilariob,121,-2.568582095200515,2.568582765493373,6.625462810554981,549.429,216.42899999999997
121,429.423,913.8580000000001,333,0,0,4,1,0,1,vft_hilariob,122,-4.193204017614725,4.193204017614725,6.927085236610149,484.43500000000006,151.43500000000006
122,494.17199999999997,775.133,333,0,0,4,1,0,1,vft_hilariob,123,-1.5229949756248404,1.5229949756248404,6.454062772947159,280.96100000000007,-52.03899999999993
